spot_name,district,category,year,month,season,festival,total_visitors,estimated_visitors
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",775,775
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2024,February,Winter,No Major Festival / Public Holiday,592,592
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2024,March,Summer,"Maha Shivaratri, Holi",439,439
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",432,432
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2024,May,Summer,May Day,496,496
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",323,323
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2024,July,Monsoon,Bonalu,319,319
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",352,352
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",341,341
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",742,742
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2024,November,Post-Monsoon,Diwali/Deepavali,487,487
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2024,December,Winter,Christmas,831,831
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",818,818
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2025,February,Winter,Maha Shivaratri,543,543
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",411,411
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",411,411
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2025,May,Summer,May Day,505,505
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",338,338
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2025,July,Monsoon,Bonalu,334,334
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",329,329
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),342,342
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",693,693
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2025,November,Post-Monsoon,No Major Festival / Public Holiday,504,504
Air Force Academy Museum,Medchal-Malkajgiri,Museum/Gallery,2025,December,Winter,Christmas,774,774
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",683,683
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2024,February,Winter,No Major Festival / Public Holiday,475,475
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2024,March,Summer,"Maha Shivaratri, Holi",388,388
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",377,377
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2024,May,Summer,May Day,439,439
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",299,299
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2024,July,Monsoon,Bonalu,283,283
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",314,314
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",291,291
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",656,656
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2024,November,Post-Monsoon,Diwali/Deepavali,449,449
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2024,December,Winter,Christmas,701,701
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",703,703
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2025,February,Winter,Maha Shivaratri,481,481
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",401,401
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",392,392
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2025,May,Summer,May Day,484,484
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",314,314
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2025,July,Monsoon,Bonalu,303,303
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",315,315
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),285,285
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",620,620
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2025,November,Post-Monsoon,No Major Festival / Public Holiday,434,434
"Air Force Museum, Hakimpet",Medchal-Malkajgiri,Museum/Gallery,2025,December,Winter,Christmas,685,685
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",411,411
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2024,February,Winter,No Major Festival / Public Holiday,454,454
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2024,March,Summer,"Maha Shivaratri, Holi",340,340
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",341,341
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2024,May,Summer,May Day,415,415
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",249,249
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2024,July,Monsoon,Bonalu,258,258
Akkampally Reservoir,Nalgonda,Lake/Reservoir,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",250,250
