distance_km,budget_limit,num_people,rainfall_mm,road_access_rating,transport_mode
51.17,5462.56,3,26.57,4,car
7.24,2311.29,1,2.73,3,bike
160.74,2160.0,1,0.29,4,bus
17.1,3250.65,1,0.02,5,auto
205.6,5344.52,5,1.68,4,bus
164.14,3309.67,5,2.83,4,bus
11.82,3673.39,3,8.75,3,auto
39.25,24036.76,4,20.86,2,car
5.25,1842.71,1,6.62,5,bike
135.12,2054.46,3,7.32,3,bus
12.92,1292.31,1,4.45,4,bike
125.93,1397.79,2,7.99,5,bus
104.78,3396.12,4,1.15,4,bus
9.9,2040.48,2,10.56,3,auto
12.51,831.31,2,7.38,3,bike
8.61,898.11,1,0.73,5,bike
8.12,3429.86,2,11.94,5,auto
3.06,2816.47,1,2.07,5,bike
201.49,17560.95,4,14.89,5,car
49.09,5032.21,4,21.31,2,car
3.62,1689.13,1,6.48,2,auto
191.59,19418.78,3,19.91,2,car
76.95,6385.33,3,26.87,1,car
167.3,4416.9,4,4.08,4,bus
335.22,19416.28,2,17.58,5,car
13.71,1979.72,1,5.67,4,bike
190.66,3557.94,3,10.71,4,bus
8.13,1492.26,2,0.73,3,auto
9.33,3120.02,2,10.01,5,auto
7.79,2231.09,1,1.95,4,bike
13.66,1105.28,2,0.44,4,auto
11.35,3901.83,2,0.93,4,auto
5.62,2849.52,3,9.05,2,auto
7.18,2915.65,2,3.77,3,auto
113.74,2411.66,2,2.97,4,bus
4.64,2327.05,2,2.05,4,bike
268.74,19908.52,5,24.38,4,car
242.63,1610.86,5,19.29,3,bus
196.0,3849.68,1,18.76,5,bus
8.92,1167.57,2,6.38,5,bike
11.57,2050.77,1,1.7,3,bike
237.49,12807.14,2,19.68,4,car
10.74,621.96,1,7.7,5,bike
4.23,1613.54,3,2.74,5,auto
41.31,11484.5,5,6.84,4,car
6.51,3882.75,1,10.74,2,auto
2.64,2733.03,3,3.58,3,auto
5.34,1748.45,3,8.21,2,auto
10.74,1522.38,1,1.25,3,bike
63.55,9350.12,5,16.8,1,car
319.71,17311.68,3,6.78,1,car
9.72,2369.68,1,7.16,2,bike
30.07,3962.8,4,15.43,3,bus
6.86,1457.85,1,0.38,5,bike
17.95,1387.05,2,6.17,2,auto
216.89,15748.98,5,18.42,5,car
107.26,3363.93,1,6.76,3,bus
226.34,11341.29,4,15.01,4,car
269.32,2182.24,5,11.6,4,bus
9.89,2387.09,1,3.28,3,bike
165.64,3136.25,2,2.58,4,bus
9.73,1659.31,1,9.85,3,auto
193.2,9974.75,3,1.68,2,car
115.99,1501.69,2,19.32,4,bus
113.59,5815.36,4,10.72,3,car
119.98,10197.29,3,27.86,5,car
13.68,2367.59,2,11.1,3,auto
158.99,10032.41,3,0.45,2,car
7.35,580.79,1,3.29,2,bike
270.18,4405.55,4,14.89,4,bus
229.23,1942.38,1,3.11,5,bus
3.49,2229.05,1,5.07,5,bike
30.42,5129.2,3,16.73,3,bus
129.71,4610.81,5,14.78,5,bus
13.97,3400.68,2,14.51,4,auto
4.02,2147.21,1,5.21,3,bike
326.35,17196.88,4,16.57,4,car
16.37,3285.77,1,14.8,5,auto
8.75,1263.81,1,3.58,5,bike
